GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US64442,64442,ZCTA5 64442,752,116,749,116,0,11,0,11,0,11,0,11,0,11,3,4,0,11,3,4
8600000US64443,64443,ZCTA5 64443,1228,220,1218,218,0,11,2,3,1,2,0,11,0,11,7,12,0,11,7,12
8600000US64444,64444,ZCTA5 64444,1675,263,1648,252,0,11,0,11,14,22,0,11,0,11,13,20,0,11,13,20
8600000US64445,64445,ZCTA5 64445,330,86,289,66,0,11,6,9,9,14,0,11,0,11,26,24,0,11,26,24
8600000US64446,64446,ZCTA5 64446,1023,94,997,94,3,4,7,9,2,3,0,11,1,2,13,14,5,6,8,11
8600000US64448,64448,ZCTA5 64448,986,224,986,224,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64449,64449,ZCTA5 64449,502,103,502,103,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64451,64451,ZCTA5 64451,464,75,451,75,0,11,4,6,5,9,0,11,0,11,4,6,0,11,4,6
8600000US64453,64453,ZCTA5 64453,164,55,164,55,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64454,64454,ZCTA5 64454,2581,287,2461,292,31,43,30,44,11,19,0,11,0,11,48,48,0,11,48,48
8600000US64455,64455,ZCTA5 64455,345,73,338,72,0,11,0,11,0,11,0,11,0,11,7,7,1,2,6,8
8600000US64456,64456,ZCTA5 64456,1375,112,1353,113,0,11,0,11,0,11,0,11,0,11,22,20,13,15,9,12
8600000US64457,64457,ZCTA5 64457,218,82,218,82,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64458,64458,ZCTA5 64458,135,43,135,43,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64459,64459,ZCTA5 64459,424,119,411,120,0,11,0,11,0,11,0,11,0,11,13,19,0,11,13,19
8600000US64461,64461,ZCTA5 64461,787,128,773,125,0,11,0,11,0,11,0,11,0,11,14,15,0,11,14,15
8600000US64463,64463,ZCTA5 64463,1658,218,1630,215,1,5,0,11,5,5,0,11,0,11,22,17,0,11,22,17
